Date,Open,High,Low,Close,Adj Close,Volume
2022-01-03,268.000000,273.000000,262.500000,269.225006,269.225006,459570
2022-01-04,270.899994,280.000000,262.750000,272.375000,272.375000,811254
2022-01-05,271.000000,281.000000,268.200012,275.075012,275.075012,1342252
2022-01-06,275.000000,275.000000,266.649994,269.350006,269.350006,572304
2022-01-07,269.500000,282.799988,266.649994,280.799988,280.799988,3099878
2022-01-10,283.000000,294.825012,272.549988,290.475006,290.475006,3144262
2022-01-11,289.950012,300.000000,287.625000,289.924988,289.924988,1155850
2022-01-12,295.000000,300.350006,286.000000,289.450012,289.450012,2808852
2022-01-13,290.500000,293.149994,284.500000,287.075012,287.075012,534414
2022-01-14,289.375000,292.000000,285.549988,286.924988,286.924988,486652
2022-01-17,291.225006,291.924988,287.850006,289.000000,289.000000,355266
2022-01-18,292.500000,294.500000,287.500000,288.500000,288.500000,996954
2022-01-19,287.549988,300.575012,285.000000,297.274994,297.274994,1346526
2022-01-20,300.500000,302.500000,291.000000,292.375000,292.375000,798866
2022-01-21,291.500000,291.500000,280.000000,284.100006,284.100006,664172
2022-01-24,284.399994,284.399994,269.899994,269.899994,269.899994,526774
2022-01-25,260.000000,273.000000,256.575012,264.700012,264.700012,684120
2022-01-27,262.975006,266.000000,258.000000,259.575012,259.575012,635136
2022-01-28,265.000000,272.549988,262.524994,268.899994,268.899994,960124
2022-01-31,278.750000,281.450012,271.350006,278.174988,278.174988,1353160
2022-02-01,280.450012,292.075012,274.000000,291.600006,291.600006,2788102
2022-02-02,293.000000,305.399994,288.075012,303.649994,303.649994,2590666
2022-02-03,304.000000,310.475006,298.625000,300.924988,300.924988,3435574
2022-02-04,300.500000,305.700012,295.549988,298.850006,298.850006,1848636
2022-02-07,302.500000,310.399994,301.524994,302.575012,302.575012,2362324
2022-02-08,304.200012,309.500000,290.500000,296.625000,296.625000,1459564
2022-02-09,298.075012,302.450012,291.549988,299.350006,299.350006,986394
2022-02-10,299.500000,308.450012,294.049988,301.674988,301.674988,1438098
2022-02-11,298.500000,301.250000,292.899994,294.774994,294.774994,808242
2022-02-14,285.000000,292.000000,270.649994,274.850006,274.850006,699708
2022-02-15,289.500000,300.500000,272.950012,298.149994,298.149994,2943512
